Path,Sample,MajorBasin,MinorBasin,Year,Number
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_019_sorted_proper_rmdup.bam,WAL_MIL_2015_019,WAL,MIL,2015,019
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_020_sorted_proper_rmdup.bam,WAL_MIL_2015_020,WAL,MIL,2015,020
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_021_sorted_proper_rmdup.bam,WAL_MIL_2015_021,WAL,MIL,2015,021
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_022_sorted_proper_rmdup.bam,WAL_MIL_2015_022,WAL,MIL,2015,022
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_023_sorted_proper_rmdup.bam,WAL_MIL_2015_023,WAL,MIL,2015,023
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_024_sorted_proper_rmdup.bam,WAL_MIL_2015_024,WAL,MIL,2015,024
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_025_sorted_proper_rmdup.bam,WAL_MIL_2015_025,WAL,MIL,2015,025
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_026_sorted_proper_rmdup.bam,WAL_MIL_2015_026,WAL,MIL,2015,026
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_027_sorted_proper_rmdup.bam,WAL_MIL_2015_027,WAL,MIL,2015,027
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_028_sorted_proper_rmdup.bam,WAL_MIL_2015_028,WAL,MIL,2015,028
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_029_sorted_proper_rmdup.bam,WAL_MIL_2015_029,WAL,MIL,2015,029
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_030_sorted_proper_rmdup.bam,WAL_MIL_2015_030,WAL,MIL,2015,030
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_031_sorted_proper_rmdup.bam,WAL_MIL_2015_031,WAL,MIL,2015,031
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_032_sorted_proper_rmdup.bam,WAL_MIL_2015_032,WAL,MIL,2015,032
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_033_sorted_proper_rmdup.bam,WAL_MIL_2015_033,WAL,MIL,2015,033
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_034_sorted_proper_rmdup.bam,WAL_MIL_2015_034,WAL,MIL,2015,034
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_035_sorted_proper_rmdup.bam,WAL_MIL_2015_035,WAL,MIL,2015,035
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_036_sorted_proper_rmdup.bam,WAL_MIL_2015_036,WAL,MIL,2015,036
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_037_sorted_proper_rmdup.bam,WAL_MIL_2015_037,WAL,MIL,2015,037
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_038_sorted_proper_rmdup.bam,WAL_MIL_2015_038,WAL,MIL,2015,038
